pk1;pk2;nonpk1;nonpk2;nonpk3;nonpk_extra;ts
v1;c1;a1;b1;c1;r1;2023-05-01 10:00:00
v1;c1;a1;b1;c1;r2;2023-05-01 12:00:00
v1;c1;a1;b1;c1;r3;2023-05-02 12:00:00
v1;c1;a1;b1;c2;;2023-05-03 12:00:00
v1;c1;a1;b2;c2;;2023-05-03 15:00:00
v1;c1;;b2;c2;r3;2023-05-05 15:00:00
v1;c1;;b2;c2;r3;2023-05-06 15:00:00
v1;c1;;;c2;r3;2023-05-07 15:00:00
v1;c1;;;;;2023-05-10 15:00:00
v1;c1;;;c2;r3;2023-05-13 15:00:00
v1;;;;c2;r3;2023-05-07 15:00:00
v1;;;;;;2023-05-10 15:00:00
v1;;;fds;;;2023-05-11 15:00:00
v1;;;fds;asdf;;2023-05-12 15:00:00
